Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Executive,"Pune, Maharashtra",Contractual,Construction Engineering Department,09-Jul-23,3,3,3,3,2,4,3,Construction  Incharge Mr sanjeev Kale only helpfully person,Hr team not proper guidance  for Trainy team .as per company  culture  need give chance of FT in Permanent  positions
Senior Manager Research And Development,Pune,Full Time,Engineering & Manufacturing Department,02-Aug-23,4,5,2,3,5,4,2,Work life balance is very good. Lots of independence in working. No pressure of completing the work.,"Lots of politics, learning and skill development is very less,"
Senior Manager,"Pune, Maharashtra",Full Time,Enterprise & B2B Sales Department,05-Sep-23,5,5,5,5,5,5,5,Good to work,No pay
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,05-Sep-23,5,5,4,3,4,4,1,Excellent work life management,Progression is very slow until senior management recommends
Cnc Machine Operator   (working remotely),,Full Time,Hardware Department,05-Sep-23,1,1,1,5,1,1,1,Cnc machine ka kam,Nahi
RMC RELATIONSHIP MANAGER,"New Delhi, Delhi",Contractual,Engineering Department,04-Sep-23,5,5,5,5,5,5,5,Good atmosphere and nature of company,No
Senior Manager,"New Delhi, Delhi",Full Time,Retail & B2C Sales Department,04-Sep-23,3,2,4,3,3,2,2,Only the salary part,Work culture and vision less management
Lead Engineer,Pune,Full Time,Engineering & Manufacturing Department,04-Sep-23,4,5,3,3,5,3,3,policy is employee friendly and good work life balance,corporate politics
Junior Engineer   (working remotely),,Full Time,Engineering Department,04-Sep-23,4,4,4,4,4,4,4,Tata motor please give me one chances,No
Production Engineer,Pune,Full Time,"Operations, Maintenance & Support Department",04-Sep-23,5,5,4,5,5,5,5,"Good company, job is security,",Skill development
Retail,"Bengaluru/Bangalore, Karnataka",Full Time,Retail Store Operations Department,03-Sep-23,4,3,3,2,5,4,3,It's great company not store managing not well deserve mangers needed,Over timings
Workshop Supervisor.,Others,Full Time,Product Management - Technology Department,03-Sep-23,4,4,3,4,5,3,4,This is good platform.,Management system fault even now.
Senior Cae Engineer,Pune,Full Time,Engineering & Manufacturing Department,03-Sep-23,4,4,2,3,5,3,3,"Job security ,",No such till now
Customer Experience Manager,"Akola, Maharashtra",Full Time,Sales Support & Operations Department,03-Sep-23,5,5,5,5,5,5,5,Good,Nothing to say about it
Work Manager   (working remotely),,Part Time,"Trading, Asset & Wealth Management Department",03-Sep-23,5,5,5,5,5,5,5,Best,Toilet is not clear for all time
Senior Manager-EV Business Gujarat,Mumbai,Full Time,Retail & B2C Sales Department,03-Sep-23,1,1,3,1,1,1,1,Brand,"Work culture 
Work life balance"
Training Officer,"Sanand, Gujarat",Full Time,Training and Development  Department,02-Sep-23,5,5,5,5,5,5,5,"Work culture, Work freedom",Rotational shifts
Typing Master   (working remotely),,Part Time,Banking Operations Department,02-Sep-23,5,5,5,5,5,5,5,"TatA motors is a very big company and very largest company
I love typing job",No it's very good company
Quality Assurance Officer,"Jamshedpur, Jharkhand",Intern,Quality Assurance and Testing Department,04-Sep-23,1,1,4,4,1,1,4,Best buy Tata motors Ltd wasa not parmanent job,Yes
Trainee Associate,Jamshedpur,Full Time,Accounting & Taxation Department,02-Sep-23,5,5,5,3,2,5,2,Good knowledge under tata motors,Employee Thinking is not good
Executive,Jamshedpur,Full Time,SCM & Logistics Department,02-Sep-23,4,4,3,5,5,3,4,Job security,Bureaucratic work culture
Senior Manager - Retail,Pune,Full Time,"Trading, Asset & Wealth Management Department",02-Sep-23,5,5,5,5,5,5,5,"Learnings, work life balance","Professionalism, Favourism"
Cashier,"Kolhapur, Maharashtra",Full Time,Cashier and Commercial  Department,02-Sep-23,5,5,5,4,5,5,1,I LIKE ALL TATA PRODUCTS AND I BELIEVED ON TATA'S SECURITY AND QUALITY ALSO. AND I LOVE TATA COMPANY LTD.,NOTHING ELSE.
Worker,"Solan, Himachal Pradesh",Full Time,Other Department,02-Sep-23,1,1,2,1,1,3,1,Its invaroment is good .,For girls this is not a good company
Senior Officer,Pune,Full Time,Accounting & Taxation Department,02-Sep-23,5,5,5,5,5,5,5,good company,more working hours
Deputy General Manager,"Pantnagar, Uttarakhand",Full Time,Engineering Department,02-Sep-23,5,5,5,5,5,5,3,Great organization,Employee growth is very slow
District Manager,"Jaipur, Rajasthan",Contractual,Enterprise & B2B Sales Department,02-Sep-23,5,5,5,5,5,5,5,Tata company. Very good. Good salary. Flexible working hours.,Everything is good. Management is supportive.
Maintanence Dipartment,Pune,Full Time,"Operations, Maintenance & Support Department",01-Sep-23,5,5,5,5,5,5,5,Very Nice working environment,There is no such thing that she dislikes for me
Warehouse Supervisor,"Dharwad, Karnataka",Full Time,SCM & Logistics Department,01-Sep-23,5,5,5,5,5,5,5,Every one learnig all types sap and good working nature,Nothing its good
Financial Analyst,"Allahabad/Prayagraj, Uttar Pradesh",Full Time,Other Department,01-Sep-23,2,5,5,5,5,5,5,Sabase badhiya hai,Pure bharat ka bharosa hai
Deputy General Manager,Pune,Full Time,Engineering & Manufacturing Department,01-Sep-23,4,5,5,4,5,4,3,Culture lifestyle culture,Nothing nothing nothing
Apprentice In Tata Motors,Pune,Full Time,Hardware Department,01-Sep-23,5,5,5,3,5,5,4,Very good for new learners get experience,Some times working hard but salary is low not sutebal for those living outside home
Senior Manager   (working remotely),,Full Time,SCM & Logistics Department,23-Sep,2,1,3,3,4,4,2,Job satisfaction,No work life balance
Executive Engineer,Pantnagar,Full Time,"Operations, Maintenance & Support Department",23-Sep,3,3,2,4,3,2,2,Working Only for the Brand Name as Tata,Senior Level /Managers think as owner of the company..
System Engineer,Pune,Full Time,Software Development Department,23-Sep,3,3,4,3,5,2,3,Work from home option and opportunities for onsite,Difficult to get project release and less hike
Radiologist Safety Officer,Pune,Full Time,Other Department,23-Sep,5,5,5,5,5,5,5,Very good apochonity,No.eny more
Workman   (working remotely),,Full Time,Social & Public Service Department,23-Sep,5,5,5,5,5,5,5,It's helpful for me,Noooo
Assistant Manager,"Visakhapatnam, Andhra Pradesh",Full Time,After Sales Service & Repair Department,09-Sep-23,5,4,5,4,4,4,5,It's osm company,No for resastion
Tata Motors LTD,Pantnagar Uttrakhand,Part Time,Other Department,09-Sep-23,4,5,4,3,4,5,4,"This com is very good iam happy to this company is gave me a opportunity .
Thank you.                        TATA MOTOR LTD",Salary Kam hai our PF bhi nahi milta hai
Opreter,Pune,Full Time,"Operations, Maintenance & Support Department",08-Sep-23,5,5,5,5,5,5,5,"Speechless
1) safety
2) cleaning",Nothing hm.....i..
Senior Manager,Jamshedpur,Full Time,Operations Support Department,08-Sep-23,5,5,5,5,5,5,5,Excellent company All good & best,Nothing bad about this company
Project Manager,Pune,Full Time,Engineering & Manufacturing Department,07-Sep-23,5,5,5,3,5,5,5,Excellent learnings & project experience,Delayed decision
Team Lead Operations,Bengaluru/Bangalore,Full Time,Operations Department,07-Sep-23,4,5,4,1,5,4,1,Good good good good,Salary Salary Salary Salary Salary
Service Engineer,New Delhi,Contractual,"Operations, Maintenance & Support Department",06-Sep-23,5,5,5,4,5,5,5,Definitely Tata motors experience is good 👍,Contractual work little hard
Spare Parts Coordinator,"Jamshedpur, Jharkhand",Full Time,Spare parts department  Department,06-Sep-23,5,4,5,4,4,3,4,Working culture,Will define later
Onshore Project Lead,"Motihari, Bihar",Full Time,Other Department,06-Sep-23,4,5,5,5,5,5,4,Mujhe jaldi se jaldi kaam chahiye,Koi dislike na karenge
Intern,"Jamshedpur, Jharkhand",Full Time,Software Development Department,06-Sep-23,4,4,4,4,4,4,4,Good company and nice place to do internship,No dislike all good
Excutive,"Rudrapur, Uttarakhand",Full Time,Procurement & Purchase Department,06-Sep-23,5,5,3,3,3,3,3,Tata motors is very good work investment.,Growth
System Engineer,Jamshedpur,Full Time,Software Development Department,06-Sep-23,3,4,2,3,3,3,4,Nidjim goo mm,Gmail account number 9
Chartered Accountant,"Gurgaon/Gurugram, Haryana",Full Time,Finance Department,05-Sep-23,5,5,5,5,5,3,5,Literally EVERYTHING,Even though it's not related to me I really hate how stupid the ideas are
Trainee,Pune,Full Time,"Operations, Maintenance & Support Department",05-Sep-23,5,5,5,5,5,5,5,Skill development,Terrible work culture
Industrial Trainee,"Pantnagar, Uttarakhand",Full Time,"Operations, Maintenance & Support Department",05-Sep-23,5,4,5,3,5,5,3,Culture and working condition is very good.,not any Job security.
